Participant ID,Select the image below that best represents how calm or excited you felt after doing the exercise guided by the robot.,Select the image below that best represents how pleasant or unpleasant you felt after doing the exercise guided by the robot.
Open-Ended Response,Response,Response
p13,Excited,Pleasant
P20,Excited,Pleasant
p19,Neutral,Pleasant
P16,Excited,Pleasant
P1,Calm,Pleasant
p14,Excited,Very Pleasant
P2,Excited,Pleasant
P15,Very Excited,Very Pleasant
P12,Neutral,Neutral
p11,Excited,Very Pleasant
p3,Excited,Very Pleasant
P8,Calm,Very Pleasant
p10,Very Calm,Very Pleasant
P7,Excited,Pleasant
P9,Calm,Pleasant
P4,Neutral,Very Pleasant
P21,Neutral,Pleasant
