Participant ID,Do you think the the robot could be used to assist people in the sports center?,"Based on your answer in the previous question, explain why",If the robot was available at no additional cost as part of your sports-centre membership. How likely would you be to use it for future exercise sessions?,Will you be interested in the next study with new improvement to the system
Open-Ended Response,Response,Open-Ended Response,Response,Response
p13,Yes,useful for a beginner or someone who doesnt know if they have good form or not.,Unlikely,Yes
P20,Yes,,Likely,Yes
p19,Not sure,,Likely,Yes
P16,Yes,I enjoy having a routine and at times am nervous to try new exercises if I am confused about the form. Using this system would make trying new exercises easier and also be able to give you a personalized routine,Likely,Yes
P1,Yes,because not everyone knows how to do the exercises and its really helpful to correct them without the presense of a human who usually bring in their biases and judgements,Very likely,Yes
p14,Yes,It would be a good coach and could be available for workouts at all exercise times. Morning and evening,Very likely,Yes
P2,Yes,If the model could follow the participant and help he / she while they are doing their workout I think it would be better. But in general I found the robot helpful.,Likely,Yes
P15,Yes,,Very unlikely,Yes
P12,Yes,,Neither likely nor unlikely,Yes
p11,Yes,Some people don't know the proper movements of certain exercises and the robot could help them find the proper form.,Likely,Yes
p3,Yes,,Likely,Yes
P8,Yes,"I think the AI feedback is great and would optimize people's form. As my experience as a regular gym goer, people like to record themselves to look for feedback but this system would facilitate that",Likely,Yes
p10,Yes,easy to use,Likely,No
P7,Yes,Yes I think it's great the only problem would be like the recording if it does record the consent of people in the background,Neither likely nor unlikely,Yes
P9,Yes,because it could be used to help assist people with exercising.,Very likely,Yes
P4,Yes,EASY TO UNDERSTSTAND,,Yes
P21,Not sure,social aspect missing,Neither likely nor unlikely,Yes
