Participant ID,"Using the scale provided, please indicate how closely each of the following words is associated with your perception of the robot.1 = Definitely not Associated 9 = Definitely Associated",,,,,,,,,,,,,,,,,
Open-Ended Response,Reliable,Organic,Awkward,Competent,Sociable,Scary,Knowledgeable,Emotional,Strange,Interactive,Compassionate,Awful,Responsive,Happy,Dangerous,Capable,Feeling,Aggressive
p13,6,4,5,7,3,2,6,Definitely not Associated 1,2,5,Definitely not Associated 1,Definitely not Associated 1,6,5,Definitely not Associated 1,6,2,Definitely not Associated 1
P20,Definitely Associated 9,8,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,8,3,7,2,Definitely not Associated 1,8,6,Definitely not Associated 1,7,4,Definitely not Associated 1
p19,6,7,6,7,7,Definitely not Associated 1,6,6,3,2,5,Definitely not Associated 1,8,8,Definitely not Associated 1,4,4,5
P16,6,6,Definitely not Associated 1,7,Definitely Associated 9,Definitely not Associated 1,8,2,Definitely Associated 9,,4,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,Definitely not Associated 1
P1,Definitely Associated 9,7,Definitely not Associated 1,Definitely Associated 9,7,Definitely not Associated 1,Definitely Associated 9,3,Definitely not Associated 1,7,8,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,8,5,Definitely not Associated 1
p14,7,5,2,8,8,Definitely not Associated 1,8,Definitely not Associated 1,Definitely not Associated 1,8,Definitely not Associated 1,Definitely not Associated 1,8,5,Definitely not Associated 1,8,Definitely not Associated 1,Definitely not Associated 1
P2,8,7,Definitely not Associated 1,6,7,Definitely not Associated 1,7,6,2,6,4,Definitely not Associated 1,4,6,Definitely not Associated 1,6,6,Definitely not Associated 1
P15,6,8,3,5,4,2,3,8,7,7,5,8,3,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,2,8
P12,5,5,4,4,5,5,5,5,5,4,5,4,5,4,5,4,5,5
p11,Definitely Associated 9,5,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,Definitely not Associated 1,Definitely Associated 9,7,Definitely not Associated 1,Definitely Associated 9,7,Definitely not Associated 1,Definitely Associated 9,5,Definitely not Associated 1
p3,8,8,Definitely not Associated 1,8,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,5,Definitely not Associated 1,Definitely Associated 9,7,Definitely not Associated 1,8,Definitely Associated 9,Definitely not Associated 1,8,6,Definitely not Associated 1
P8,6,4,2,Definitely Associated 9,4,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,4,Definitely Associated 9,5,Definitely not Associated 1,4,6,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,Definitely not Associated 1
p10,4,Definitely not Associated 1,4,6,6,Definitely not Associated 1,Definitely Associated 9,4,4,Definitely Associated 9,4,4,8,8,Definitely not Associated 1,Definitely Associated 9,4,Definitely not Associated 1
P7,7,8,6,6,7,3,7,7,4,Definitely Associated 9,6,2,Definitely Associated 9,8,Definitely not Associated 1,6,6,3
P9,Definitely Associated 9,Definitely Associated 9,Definitely Associated 9,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,Definitely not Associated 1,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1,Definitely Associated 9,Definitely Associated 9,Definitely not Associated 1
P4,7,4,5,Definitely Associated 9,7,Definitely not Associated 1,Definitely Associated 9,6,Definitely Associated 9,7,6,Definitely not Associated 1,6,6,2,7,6,Definitely not Associated 1
P21,5,5,4,5,6,3,6,5,4,6,5,5,5,5,5,5,2,5
