Participant ID,"Please indicate how strongly you agree or disagree with each statement about the system. Here, the system refers to the robot integrated with screen and headphones.",,,,,,,,,
Open-Ended Response,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.
p13,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
P20,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Disagree
p19,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
P16,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
P1,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
p14,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,,Disagree,Disagree
P2,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
P15,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
P12,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
p11,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree
p3,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
P8,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
p10,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree
P7,Agree,Disagree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly Disagree
P9,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
P4,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neither agree nor disagree,Disagree
P21,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
