Participant ID,Please indicate how strongly you agree or disagree with each statement about the robot's technical performance during the exercise session.,,,,Did you experience any technical errors while using the robot?,"If yes, what happened and at what point in the session?"
Open-Ended Response,The robot correctly recognized the exercise I was performing.,The robot's corrective feedback matched my actual movement or exercise form.,The robot correctly understood my spoken responses.,The robot responded quickly enough during the exercise session.,Response,Open-Ended Response
p13,Agree,Agree,Strongly agree,Agree,Yes,had trouble recognizing proper reps for T-bar rows. (could have been an issue with the equipment not allowing proper rep range)
P20,Agree,Agree,Agree,Agree,No,
p19,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Not sure,
P16,Agree,Neither agree nor disagree,Strongly agree,Agree,Yes,For pushups and russian twists it wouldnt count all my reps
P1,Strongly agree,Agree,Strongly agree,Strongly agree,No,
p14,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Yes,did not recognize my voice
P2,Strongly agree,Agree,Strongly agree,Agree,No,
P15,Strongly disagree,Disagree,,Strongly disagree,No,
P12,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not sure,
p11,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,No,
p3,Strongly agree,Strongly agree,Disagree,Strongly agree,Not sure,
P8,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,No,
p10,Strongly agree,Strongly agree,Strongly agree,Agree,No,
P7,Agree,Strongly agree,Agree,Strongly agree,Yes,When proceeding with workout two for russian twists the robot started repeating if i was reading to start when i already said yes but then it worked later
P9,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,i had trouble with my pushups and learning how to adjust my body.
P4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,
P21,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Yes,Didn not count reps everytime
