Participant ID,Select the image below that best represents how calm or excited you feel right now,Select the image below that best represents how pleasant or unpleasant you feel right now
Open-Ended Response,Response,Response
P13,Excited ,Very Pleasant
P20,Excited,Pleasant
P19,Excited ,Pleasant
P16,Excited,Pleasant
P1,Neutral,Neutral
P14,Excited,Pleasant
P2,Excited,Unpleasant
P15,Very Calm,Very Pleasant
P11,Neutral,Pleasant
P3,Neutral,Very Pleasant
P8,Excited ,Very Pleasant
P10,Very Calm,Very Pleasant
P21,Neutral,Pleasant
