Participant,Exercise,Set,Target Reps,Total Attempts,Correct Reps,Incorrect Reps,Participant,Exercise,Set,Total Reps,Correct Reps,Incorrect Reps,Notes,
P1,Hammer Curl,1,10,12,10,2,P1,Hammer Curl,1,10,10,0,Bent down to pick the dumbells and the system counted the movement as a failed rep,
P1,Lateral Raise,1,10,15,10,5,P1,Lateral Raise,1,11,10,1,Was changing the dumbel and the system counted them as failed rep,
P1,Tricep Pushdown,1,10,11,10,1,P1,Tricep Pushdown,1,9,9,0,,
P1,Chest Fly Machine,1,10,12,10,2,P1,Chest Fly Machine,1,10,10,0,Counted two good ones as bad,
P2,Hammer Curl,1,8,8,8,0,P2,Hammer Curl,1,9,9,0,,
P2,Lateral Raise,1,8,9,8,1,P2,Lateral Raises,1,9,9,0,,
P2,Leg Extension,1,8,11,8,3,P2,Leg Extension,1,18,18,0,,
P3,Squat,1,10,10,10,0,P3,Squat,1,10,10,0,,
P3,Squat,2,10,11,10,1,P3,Squat,2,11,11,0,,
P3,Squat,3,10,11,10,1,P3,Squat,3,10,10,0,,
P3,Lateral Raise,1,10,10,10,0,P3,Lateral Raises,1,10,10,0,,
P3,Lateral Raise,2,10,10,10,0,P3,Lateral Raises,2,10,10,0,,
P3,Lateral Raise,3,10,10,10,0,P3,Lateral Raises,3,10,10,0,,
P3,Tricep Pushdown,1,10,14,10,4,P3,Tricep Pushdown,1,10,10,0,,
P3,Tricep Pushdown,2,10,11,10,1,P3,Tricep Pushdown,2,11,11,0,,
P3,Tricep Pushdown,3,10,10,10,0,P3,Tricep Pushdown,3,8,8,0,,
P3,Hammer Curl,1,10,12,10,2,P3,Hammer Curl,1,9,9,0,,
P3,Hammer Curl,2,10,10,10,0,P3,Hammer Curl,2,10,10,0,,
P4,Push-up,1,12,22,2,20,P4,Push-up,1,8,0,8,,
P4,Push-up,2,12,7,0,7,P4,Push-up,2,5,0,5,,
P4,Squat,1,15,17,12,5,P4,Squats,1,23,15,8,,
P4,Squat,2,15,15,15,0,P4,Squats,2,15,15,0,,
P4,Squat,3,15,15,15,0,P4,Hammer Curl,1,12,12,0,,
P4,Hammer Curl,1,12,12,12,0,P4,Hammer Curl,2,11,11,0,,
P4,Hammer Curl,2,12,12,12,0,P4,Hammer Curl,3,12,12,0,,
P4,Hammer Curl,3,12,12,12,0,P4,Lateral Raises,1,10,10,0,,
P4,Lateral Raise,1,10,16,10,6,P4,Lateral Raises,2,9,9,0,,
