Participant ID,Age range,Gender,Student status,Occupation,Exercise frequency,Walking,Running or jogging,Cycling,Swimming,Strength training or weightlifting,"Yoga, Pilates, or stretching",Team sports,Individual sports,Dance,Fitness classes or aerobic exercise,I do not currently exercise,Other activity
P1,25-34,Woman,"Yes, full-time",Student,,0,0,0,0,0,0,0,0,0,0,0,
P10,65 or older,Woman,No,Retired,5 to 6 times per week,1,0,0,0,1,1,1,0,0,1,0,
P11,25-34,Man,No,Teacher,5 to 6 times per week,0,0,0,0,1,0,1,0,0,0,0,
P12,25-34,Man,No,IT Manager,Every day,1,1,0,0,0,0,0,1,0,0,0,
P13,18-24,Man,"Yes, full-time",Labourer,5 to 6 times per week,1,0,0,0,1,0,0,0,0,0,0,
P14,55-64,Woman,No,Retired,5 to 6 times per week,1,0,0,0,1,0,0,0,0,1,0,Tai chi. Aquafit
P15,25-34,Woman,"Yes, full-time",Student,3 to 4 times per week,0,0,0,0,1,0,0,0,0,0,0,
P16,18-24,Woman,"Yes, full-time",,3 to 4 times per week,1,0,0,0,1,1,0,0,1,0,0,
P17,55-64,Woman,No,Retired,3 to 4 times per week,1,0,0,0,0,1,0,0,0,0,0,
P18,35-44,Woman,No,Self employes,5 to 6 times per week,1,0,1,0,0,1,0,0,0,0,0,
P19,35-44,Woman,"Yes, full-time",Master student,Less than once a week,1,0,0,0,0,0,0,0,0,1,0,
P2,18-24,Man,"Yes, full-time",student,3 to 4 times per week,1,1,0,0,1,0,1,0,0,0,0,
P20,25-34,Man,No,Work at unbc,1 to 2 times per week,1,1,1,0,0,0,1,0,1,1,0,
P21,65 or older,Woman,No,Retired,Every day,1,0,0,0,1,0,0,0,0,1,0,
P3,Prefer not to answer,Woman,No,Retired,3 to 4 times per week,1,0,1,0,1,1,0,0,0,0,0,
P4,65 or older,Woman,No,Retired,5 to 6 times per week,1,0,0,0,1,0,0,0,0,0,0,
P6,45-54,Woman,"Yes, full-time",CSR at the northern sports centre/Nursing Student,3 to 4 times per week,0,1,1,0,1,0,0,0,0,1,0,
P7,18-24,Woman,"Yes, full-time",retail,3 to 4 times per week,0,1,0,0,1,0,1,0,1,1,0,
P8,25-34,Woman,"Yes, full-time",,3 to 4 times per week,0,0,0,0,1,0,0,0,0,0,0,
P9,18-24,Man,No,,3 to 4 times per week,1,0,0,0,0,0,0,0,0,0,0,
