Variable,Category,n,Percent,Total participants,Valid responses,Missing responses,Note
Age range,25-34,6,30.0,20,20.0,0.0,
Age range,18-24,5,25.0,20,20.0,0.0,
Age range,65 or older,3,15.0,20,20.0,0.0,
Age range,35-44,2,10.0,20,20.0,0.0,
Age range,55-64,2,10.0,20,20.0,0.0,
Age range,Prefer not to answer,1,5.0,20,20.0,0.0,
Age range,45-54,1,5.0,20,20.0,0.0,
Gender,Woman,14,70.0,20,20.0,0.0,
Gender,Man,6,30.0,20,20.0,0.0,
Student status,No,11,55.0,20,20.0,0.0,
Student status,"Yes, full-time",9,45.0,20,20.0,0.0,
Exercise frequency,3 to 4 times per week,9,45.0,20,19.0,1.0,
Exercise frequency,5 to 6 times per week,6,30.0,20,19.0,1.0,
Exercise frequency,Every day,2,10.0,20,19.0,1.0,
Exercise frequency,1 to 2 times per week,1,5.0,20,19.0,1.0,
Exercise frequency,Less than once a week,1,5.0,20,19.0,1.0,
Exercise frequency,Missing,1,5.0,20,19.0,1.0,
Physical activity type,Walking,14,70.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Running or jogging,5,25.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Cycling,4,20.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Swimming,0,0.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Strength training or weightlifting,13,65.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,"Yoga, Pilates, or stretching",5,25.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Team sports,5,25.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Individual sports,1,5.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Dance,3,15.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Fitness classes or aerobic exercise,7,35.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,I do not currently exercise,0,0.0,20,,,Multi-select: percentages do not need to sum to 100%
Physical activity type,Other,1,5.0,20,,,Multi-select: percentages do not need to sum to 100%
