Variable,Category,n,Percent,Total participants,Valid responses,Missing responses
Occupation (verbatim response),Retired,6,30.0,20,17,3
Occupation (verbatim response),Student,2,10.0,20,17,3
Occupation (verbatim response),Work at unbc,1,5.0,20,17,3
Occupation (verbatim response),Master student,1,5.0,20,17,3
Occupation (verbatim response),Self employes,1,5.0,20,17,3
Occupation (verbatim response),retail,1,5.0,20,17,3
Occupation (verbatim response),IT Manager,1,5.0,20,17,3
Occupation (verbatim response),Teacher,1,5.0,20,17,3
Occupation (verbatim response),Labourer,1,5.0,20,17,3
Occupation (verbatim response),student,1,5.0,20,17,3
Occupation (verbatim response),CSR at the northern sports centre/Nursing Student,1,5.0,20,17,3
Occupation (verbatim response),Missing,3,15.0,20,17,3
