Question,Response,n,Percent of valid responses,Percent of total sample,Valid N,Missing N,Total N
Could assist people in the sports centre,Yes,15,88.2,88.2,17,0,17
Could assist people in the sports centre,No,0,0.0,0.0,17,0,17
Could assist people in the sports centre,Not sure,2,11.8,11.8,17,0,17
Likelihood of future use,Very unlikely,1,6.2,5.9,16,1,17
Likelihood of future use,Unlikely,1,6.2,5.9,16,1,17
Likelihood of future use,Neither likely nor unlikely,3,18.8,17.6,16,1,17
Likelihood of future use,Likely,8,50.0,47.1,16,1,17
Likelihood of future use,Very likely,3,18.8,17.6,16,1,17
Likelihood of future use,Missing,1,,5.9,16,1,17
Interested in next improved study,Yes,16,94.1,94.1,17,0,17
Interested in next improved study,No,1,5.9,5.9,17,0,17
