Exercise,Correct Valid Sets,Correct Rep Accuracy %,Correct Rep MAE,Correct Exact Match %,Correct Within ±1 %,Total Valid Sets,Total Attempt Accuracy %,Total Attempt MAE,Total Exact Match %,Total Within ±1 %
Chest Fly Machine,11,81.41592920353982,1.9090909090909092,27.27272727272727,36.36363636363637,11,72.5,3.0,18.181818181818183,36.36363636363637
Hammer Curl,27,94.50171821305842,0.5925925925925926,74.07407407407408,92.5925925925926,27,84.87972508591065,1.6296296296296295,40.74074074074074,70.37037037037037
Lateral Raise,15,94.8905109489051,0.4666666666666667,53.333333333333336,100.0,15,86.23188405797102,1.2666666666666666,33.33333333333333,80.0
Leg Extension,10,82.75862068965517,2.0,50.0,50.0,10,77.77777777777777,2.6,10.0,40.0
Leg Raises,5,77.27272727272728,2.0,40.0,60.0,5,72.72727272727273,2.4,20.0,40.0
Push-up,15,73.52941176470588,1.8,26.666666666666668,53.333333333333336,15,46.98795180722891,5.866666666666666,20.0,46.666666666666664
Russian Twist,6,37.735849056603776,22.0,0.0,0.0,6,39.62264150943396,21.333333333333332,0.0,0.0
Squat,26,87.41258741258741,1.3846153846153846,65.38461538461539,73.07692307692307,27,88.03986710963456,1.3333333333333333,62.96296296296296,77.77777777777779
T-Bar Row,4,62.5,2.25,0.0,25.0,4,0.0,13.5,0.0,0.0
Tricep Pushdown,13,85.48387096774194,1.3846153846153846,23.076923076923077,61.53846153846154,13,59.701492537313435,4.153846153846154,15.384615384615385,23.076923076923077
