Participant,Exercise,Exercise Key,Set,Robot CSV Row,Video CSV Row,Target Reps,Robot Total Attempts,Video Total Reps,Robot Correct Reps,Video Correct Reps,Robot Incorrect Reps,Video Incorrect Reps,Notes,Correct Rep Error,Correct Rep Absolute Error,Total Attempt Error,Total Attempt Absolute Error
P1,Chest Fly Machine,chest fly machine,1,5,5,10.0,12.0,10.0,10.0,10.0,2.0,0.0,Counted two good ones as bad,0.0,0.0,2.0,2.0
P1,Hammer Curl,hammer curl,1,2,2,10.0,12.0,10.0,10.0,10.0,2.0,0.0,Bent down to pick the dumbells and the system counted the movement as a failed rep,0.0,0.0,2.0,2.0
P1,Lateral Raise,lateral raise,1,3,3,10.0,15.0,11.0,10.0,10.0,5.0,1.0,Was changing the dumbel and the system counted them as failed rep,0.0,0.0,4.0,4.0
P1,Tricep Pushdown,tricep pushdown,1,4,4,10.0,11.0,9.0,10.0,9.0,1.0,0.0,,1.0,1.0,2.0,2.0
P10,Hammer Curl,hammer curl,1,73,74,8.0,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0
P10,Hammer Curl,hammer curl,2,74,75,8.0,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0
P10,Push-up,push-up,1,71,72,12.0,17.0,17.0,3.0,0.0,14.0,17.0,,3.0,3.0,0.0,0.0
P10,Push-up,push-up,2,72,73,12.0,17.0,12.0,3.0,0.0,14.0,12.0,,3.0,3.0,5.0,5.0
P10,Russian Twist,russian twist,1,77,78,5.0,5.0,18.0,5.0,18.0,0.0,0.0,,-13.0,13.0,-13.0,13.0
P10,Squat,squat,1,75,76,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P10,Squat,squat,2,76,77,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P10,Tricep Pushdown,tricep pushdown,1,79,79,12.0,15.0,9.0,12.0,9.0,3.0,0.0,,3.0,3.0,6.0,6.0
P10,Tricep Pushdown,tricep pushdown,2,80,80,12.0,14.0,10.0,12.0,10.0,2.0,0.0,,2.0,2.0,4.0,4.0
P11,Hammer Curl,hammer curl,1,81,81,15.0,16.0,15.0,15.0,15.0,1.0,0.0,,0.0,0.0,1.0,1.0
P11,Hammer Curl,hammer curl,2,82,82,15.0,21.0,15.0,15.0,15.0,6.0,0.0,,0.0,0.0,6.0,6.0
P11,Hammer Curl,hammer curl,3,83,83,15.0,24.0,15.0,15.0,15.0,9.0,0.0,,0.0,0.0,9.0,9.0
P13,Chest Fly Machine,chest fly machine,1,91,91,8.0,11.0,8.0,8.0,8.0,3.0,0.0,,0.0,0.0,3.0,3.0
P13,Chest Fly Machine,chest fly machine,2,92,92,8.0,11.0,8.0,8.0,8.0,3.0,0.0,,0.0,0.0,3.0,3.0
P13,Push-up,push-up,1,87,87,12.0,12.0,11.0,12.0,11.0,0.0,0.0,,1.0,1.0,1.0,1.0
P13,Push-up,push-up,2,88,88,15.0,16.0,15.0,15.0,15.0,1.0,0.0,,0.0,0.0,1.0,1.0
P13,Push-up,push-up,3,89,89,10.0,12.0,10.0,10.0,10.0,2.0,0.0,,0.0,0.0,2.0,2.0
P13,T-Bar Row,t-bar row,1,90,90,12.0,30.0,0.0,3.0,0.0,27.0,14.0,,3.0,3.0,30.0,30.0
P14,Chest Fly Machine,chest fly machine,1,101,101,8.0,8.0,8.0,8.0,6.0,0.0,2.0,,2.0,2.0,0.0,0.0
P14,Hammer Curl,hammer curl,1,93,93,8.0,10.0,9.0,8.0,9.0,2.0,0.0,,-1.0,1.0,1.0,1.0
