Participant ID,Organic,Sociable,Emotional,Compassionate,Happy,Feeling,Warmth Items Answered,Warmth Score,Reliable,Competent,Knowledgeable,Interactive,Responsive,Capable,Competence Items Answered,Competence Score,Awkward,Scary,Strange,Awful,Dangerous,Aggressive,Discomfort Items Answered,Discomfort Score
P1,7.0,7.0,3.0,8.0,9.0,5.0,6,6.5,9.0,9.0,9.0,7.0,9.0,8.0,6,8.5,1.0,1.0,1.0,1.0,1.0,1.0,6,1.0
P10,1.0,6.0,4.0,4.0,8.0,4.0,6,4.5,4.0,6.0,9.0,9.0,8.0,9.0,6,7.5,4.0,1.0,4.0,4.0,1.0,1.0,6,2.5
P11,5.0,9.0,1.0,7.0,7.0,5.0,6,5.666666666666667,9.0,9.0,9.0,9.0,9.0,9.0,6,9.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1.0
P12,5.0,5.0,5.0,5.0,4.0,5.0,6,4.833333333333333,5.0,4.0,5.0,4.0,5.0,4.0,6,4.5,4.0,5.0,5.0,4.0,5.0,5.0,6,4.666666666666667
P13,4.0,3.0,1.0,1.0,5.0,2.0,6,2.6666666666666665,6.0,7.0,6.0,5.0,6.0,6.0,6,6.0,5.0,2.0,2.0,1.0,1.0,1.0,6,2.0
P14,5.0,8.0,1.0,1.0,5.0,1.0,6,3.5,7.0,8.0,8.0,8.0,8.0,8.0,6,7.833333333333333,2.0,1.0,1.0,1.0,1.0,1.0,6,1.1666666666666667
P15,8.0,4.0,8.0,5.0,1.0,2.0,6,4.666666666666667,6.0,5.0,3.0,7.0,3.0,1.0,6,4.166666666666667,3.0,2.0,7.0,8.0,9.0,8.0,6,6.166666666666667
P16,6.0,9.0,2.0,4.0,9.0,1.0,6,5.166666666666667,6.0,7.0,8.0,,9.0,9.0,5,,1.0,1.0,9.0,1.0,1.0,1.0,6,2.3333333333333335
P19,7.0,7.0,6.0,5.0,8.0,4.0,6,6.166666666666667,6.0,7.0,6.0,2.0,8.0,4.0,6,5.5,6.0,1.0,3.0,1.0,1.0,5.0,6,2.8333333333333335
P2,7.0,7.0,6.0,4.0,6.0,6.0,6,6.0,8.0,6.0,7.0,6.0,4.0,6.0,6,6.166666666666667,1.0,1.0,2.0,1.0,1.0,1.0,6,1.1666666666666667
P20,8.0,9.0,8.0,2.0,6.0,4.0,6,6.166666666666667,9.0,9.0,9.0,7.0,8.0,7.0,6,8.166666666666666,1.0,1.0,3.0,1.0,1.0,1.0,6,1.3333333333333333
P21,5.0,6.0,5.0,5.0,5.0,2.0,6,4.666666666666667,5.0,5.0,6.0,6.0,5.0,5.0,6,5.333333333333333,4.0,3.0,4.0,5.0,5.0,5.0,6,4.333333333333333
P3,8.0,9.0,5.0,7.0,9.0,6.0,6,7.333333333333333,8.0,8.0,9.0,9.0,8.0,8.0,6,8.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,6,1.0
P4,4.0,7.0,6.0,6.0,6.0,6.0,6,5.833333333333333,7.0,9.0,9.0,7.0,6.0,7.0,6,7.5,5.0,1.0,9.0,1.0,2.0,1.0,6,3.1666666666666665
P7,8.0,7.0,7.0,6.0,8.0,6.0,6,7.0,7.0,6.0,7.0,9.0,9.0,6.0,6,7.333333333333333,6.0,3.0,4.0,2.0,1.0,3.0,6,3.1666666666666665
P8,4.0,4.0,1.0,5.0,6.0,1.0,6,3.5,6.0,9.0,9.0,9.0,4.0,9.0,6,7.666666666666667,2.0,1.0,4.0,1.0,1.0,1.0,6,1.6666666666666667
P9,9.0,9.0,1.0,9.0,9.0,9.0,6,7.666666666666667,9.0,9.0,9.0,9.0,9.0,9.0,6,9.0,9.0,1.0,1.0,,1.0,1.0,5,
