Participant ID,Item 1 Raw,Item 1 Adjusted,Item 2 Raw,Item 2 Adjusted,Item 3 Raw,Item 3 Adjusted,Item 4 Raw,Item 4 Adjusted,Item 5 Raw,Item 5 Adjusted,Item 6 Raw,Item 6 Adjusted,Item 7 Raw,Item 7 Adjusted,Item 8 Raw,Item 8 Adjusted,Item 9 Raw,Item 9 Adjusted,Item 10 Raw,Item 10 Adjusted,Adjusted Sum,SUS Score,Used Centre-Point Replacement
P1,5,4,1,4,4,3,1,4,5,4,1,4,5,4,1,4,5,4,1,4,39,97.5,False
P10,3,2,2,3,4,3,3,2,3,2,3,2,2,1,2,3,4,3,4,1,22,55.0,False
P11,4,3,1,4,5,4,2,3,4,3,1,4,5,4,1,4,5,4,2,3,36,90.0,False
P12,3,2,3,2,4,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,21,52.5,False
P13,3,2,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,29,72.5,False
P14,4,3,2,3,4,3,4,1,4,3,3,2,4,3,3,2,2,1,2,3,24,60.0,True
P15,5,4,2,3,5,4,2,3,5,4,2,3,5,4,3,2,5,4,5,0,31,77.5,False
P16,4,3,2,3,4,3,2,3,4,3,2,3,4,3,3,2,4,3,2,3,29,72.5,False
P19,4,3,2,3,4,3,4,1,4,3,2,3,4,3,3,2,4,3,2,3,27,67.5,False
P2,3,2,2,3,4,3,2,3,4,3,2,3,4,3,1,4,5,4,1,4,32,80.0,False
P20,4,3,2,3,4,3,2,3,5,4,2,3,4,3,3,2,5,4,2,3,31,77.5,False
P21,3,2,2,3,4,3,4,1,4,3,2,3,4,3,2,3,3,2,3,2,25,62.5,False
P3,4,3,1,4,5,4,1,4,4,3,1,4,5,4,1,4,5,4,1,4,38,95.0,False
P4,1,0,2,3,4,3,4,1,5,4,1,4,4,3,2,3,3,2,2,3,26,65.0,False
P7,4,3,2,3,5,4,1,4,3,2,2,3,4,3,4,1,4,3,1,4,30,75.0,False
P8,5,4,2,3,4,3,1,4,5,4,3,2,3,2,1,4,5,4,1,4,34,85.0,True
P9,4,3,2,3,4,3,4,1,4,3,4,1,4,3,4,1,4,3,4,1,22,55.0,False
