Item Number,Item Text,Direction,Adjusted Score Formula
1,I think that I would like to use this system frequently.,Positive wording,Raw response - 1
2,I found the system unnecessarily complex.,Negative wording,5 - Raw response
3,I thought the system was easy to use.,Positive wording,Raw response - 1
4,I think that I would need the support of a technical person to be able to use this system.,Negative wording,5 - Raw response
5,I found the various functions in this system were well integrated.,Positive wording,Raw response - 1
6,I thought there was too much inconsistency in this system.,Negative wording,5 - Raw response
7,I would imagine that most people would learn to use this system very quickly.,Positive wording,Raw response - 1
8,I found the system very cumbersome to use.,Negative wording,5 - Raw response
9,I felt very confident using the system.,Positive wording,Raw response - 1
10,I needed to learn a lot of things before I could get going with this system.,Negative wording,5 - Raw response
